Gender,Age stand,Study stand,Learning mode,Social stand,Attendance stand,Cohabitants,Previous SGPA stand,Current CPGA stand,Family income stand
Female,22,2.0,Offline,2.0,100.0,Bachelor,3.8,3.64,32500
Male,22,3.0,Offline,2.0,90.0,Bachelor,3.4,3.53,20000
Male,20,2.0,Offline,1.0,95.0,Family,3.93,3.89,30000
Male,21,1.0,Online,3.0,88.33627450980393,Family,3.1,3.5,207239
Female,21,3.0,Offline,2.0,96.0,Bachelor,3.81,3.65,30000
Male,21,1.0,Online,1.0,85.0,Bachelor,3.89,3.81,35000
Female,20,3.0,Offline,1.0,97.0,Family,3.79,3.82,50000
Male,19,2.0,Online,4.0,100.0,Family,3.55,3.48,40000
Male,21,2.0,Online,2.0,95.0,Bachelor,3.28,3.32,8000
Female,20,3.1540296924708375,Offline,3.0,99.0,Family,3.78,3.88,200000
Male,21,2.5,Offline,2.0,95.0,Family,4.0,4.0,20000
Male,20,3.1540296924708375,Offline,2.0,100.0,Family,3.9,3.9,60000
Male,21,3.0,Offline,5.0,95.0,Bachelor,3.84,3.8,23000
Male,24,2.0,Offline,4.0,70.0,Bachelor,3.31,3.52,350000
Female,20,1.0,Offline,5.0,80.0,Bachelor,3.49,3.67,40000
Male,21,4.0,Online,2.0,100.0,Bachelor,3.07,2.74,20000
Female,21,3.0,Offline,1.0,95.0,Family,3.76,3.5,92000
Male,22,3.0,Offline,3.4722805176635183,98.0,Family,2.7,2.8,35000
Male,23,6.0,Offline,3.0,100.0,Bachelor,3.84,3.1,30000
Male,19,1.0,Offline,1.0,95.0,Family,3.5,3.58,30000
Male,21,4.0,Offline,2.0,90.0,Family,3.38,3.82,40000
Female,21,2.0,Offline,3.0,100.0,Bachelor,1.89,2.69,20000
Female,19,7.0,Offline,3.0,90.0,Family,3.7,3.77,207239
Male,25,2.0,Offline,2.0,70.0,Bachelor,0.0,2.53,30000
Male,24,2.0,Offline,4.0,50.0,Bachelor,2.2,2.66,60000
Male,22,1.0,Offline,4.0,100.0,Bachelor,2.6,2.6,0
Female,22,3.1540296924708375,Offline,3.0,95.0,Family,2.7,2.91,150000
Male,23,2.0,Online,1.0,90.0,Family,2.87,2.99,30
Male,23,1.0,Offline,1.0,70.0,Family,2.7,2.92,15000
Female,23,3.1540296924708375,Offline,1.0,70.0,Bachelor,2.98,2.96,20000
Male,22,3.0,Offline,2.0,99.0,Bachelor,3.52,2.9,15000
Male,23,4.0,Offline,3.5,100.0,Bachelor,3.48,3.08,20000
Male,25,6.0,Online,2.0,25.0,Family,3.16,2.68,60000
Female,21,3.1540296924708375,Offline,1.0,87.0,Family,1.92,2.42,60000
Male,23,5.0,Offline,3.0,90.0,Bachelor,3.29,3.23,28000
Female,22,3.0,Offline,5.0,80.0,Bachelor,2.0,2.22,4000
Female,21,5.0,Offline,3.0,80.0,Bachelor,3.3,3.24,80000
Male,21,1.0,Online,3.4722805176635183,90.0,Bachelor,3.01,2.76,65000
Male,22,3.0,Offline,3.0,95.0,Bachelor,3.2,3.3,40000
Female,23,3.0,Offline,4.0,40.0,Family,2.4,2.4,60
Male,22,4.0,Offline,2.0,90.0,Family,2.16,2.75,40000
Male,21,5.0,Offline,2.0,97.0,Bachelor,0.0,2.31,50000
Female,20,2.0,Offline,3.0,80.0,Family,1.75,2.51,50000
Female,20,3.0,Offline,2.0,98.0,Family,2.6,3.201095977596741,500000
Male,20,7.0,Offline,3.4722805176635183,90.0,Bachelor,3.33,3.5,40000
Male,24,3.0,Offline,2.0,90.0,Bachelor,4.0,3.92,40000
Male,22,6.0,Offline,2.0,100.0,Family,3.25,3.25,30000
Male,22,1.0,Offline,1.0,100.0,Family,3.46,3.1,40000
Male,19,1.0,Offline,2.0,85.0,Bachelor,3.73,3.73,20000
Male,26,3.0,Online,1.0,100.0,Family,2.0,2.0,25000
Male,25,2.0,Offline,5.0,80.0,Bachelor,3.78,3.56,15000
Male,24,6.0,Offline,1.0,100.0,Family,3.42,3.02,50000
Female,21,4.0,Online,5.0,95.0,Bachelor,3.5,3.2,15000
Male,21,3.1540296924708375,Offline,3.4722805176635183,90.0,Bachelor,3.26,3.26,22000
Female,21,3.1540296924708375,Offline,3.4722805176635183,70.0,Family,3.9,3.8,25000
Female,21,2.0,Online,5.0,95.0,Family,3.7,3.68,50000
Female,22,3.1540296924708375,Offline,3.4722805176635183,100.0,Bachelor,3.82,3.65,30000
Female,21,5.0,Offline,5.0,99.0,Family,3.85,3.72,100000
Male,24,2.5,Offline,3.4722805176635183,95.0,Bachelor,3.1,2.84,20000
Female,20,2.0,Online,6.0,90.0,Bachelor,2.67,2.67,35000
Female,23,3.0,Offline,1.0,80.0,Bachelor,3.82,3.6,30000
Male,20,4.0,Offline,2.0,100.0,Family,3.72,3.72,40000
Female,21,2.0,Offline,2.0,90.0,Family,3.51,3.56,40000
Male,22,8.0,Online,4.0,90.0,Bachelor,3.48,3.35,40
Male,22,3.1540296924708375,Offline,0.3333333333333333,90.0,Bachelor,2.65,2.99,50000
Male,22,3.1540296924708375,Online,2.5,100.0,Bachelor,3.72,3.42,207239
Male,23,3.1540296924708375,Online,3.0,85.0,Bachelor,1.96,0.0,0
Female,23,2.0,Offline,1.0,95.0,Family,3.38,3.6,50000
Male,23,7.0,Online,2.5,80.0,Family,2.8,2.8,18000
Female,21,5.0,Online,4.0,100.0,Family,3.36,3.59,40
Male,25,1.0,Online,2.0,90.0,Family,2.11,2.54,80000
Male,21,1.0,Offline,6.0,100.0,Family,2.83,3.05,20000
Male,21,3.1540296924708375,Online,3.4722805176635183,88.33627450980393,Family,2.2,2.2,207239
Male,23,6.0,Offline,6.0,98.0,Family,3.2,3.22,50000
Male,26,4.0,Offline,1.0,70.0,Bachelor,2.81,3.2,12000
Male,20,5.0,Offline,2.0,100.0,Bachelor,3.48,3.48,20000
Female,20,5.0,Offline,6.0,90.0,Family,4.0,3.201095977596741,50000
Male,20,2.0,Offline,6.0,100.0,Family,4.0,4.0,0
Male,23,4.0,Offline,6.0,90.0,Bachelor,3.7,3.5,50000
Male,20,3.0,Offline,6.0,100.0,Family,2.760508706467662,3.201095977596741,25000
Female,21,4.0,Offline,5.0,90.0,Family,3.68,0.0,25000
Male,21,5.0,Offline,2.0,95.0,Bachelor,3.3,3.3,50000
Male,22,4.5,Online,2.0,88.33627450980393,Bachelor,3.85,3.1,207239
Male,21,2.0,Online,3.0,90.0,Bachelor,4.0,3.78,50000
Female,24,4.0,Offline,1.0,97.0,Family,2.98,2.91,20000
Female,22,5.0,Offline,15.0,100.0,Family,3.64,3.75,34000
Female,19,3.1540296924708375,Offline,3.4722805176635183,95.0,Bachelor,3.56,3.58,10000
Male,23,1.0,Offline,2.0,65.0,Family,1.68,3.1,30
Male,20,3.0,Online,5.0,80.0,Bachelor,2.54,2.54,40000
Male,20,3.1540296924708375,Offline,1.0,95.0,Bachelor,3.9,3.9,50000
Female,22,6.0,Offline,3.0,90.0,Family,3.84,3.77,60000
Male,22,1.0,Offline,0.3333333333333333,70.0,Bachelor,3.68,3.39,16000
Female,23,2.0,Offline,2.0,95.0,Family,3.14,3.14,40
Male,23,3.1540296924708375,Offline,4.0,95.0,Bachelor,3.69,3.23,30000
Male,26,3.0,Online,1.0,95.0,Bachelor,2.73,3.08,25000
Male,24,2.0,Online,1.0,80.0,Bachelor,3.48,3.0,207239
Male,20,5.0,Online,12.0,100.0,Family,2.61,3.201095977596741,40000
Female,19,3.1540296924708375,Offline,2.0,100.0,Bachelor,2.760508706467662,3.201095977596741,50000
Male,23,1.0,Offline,2.0,88.33627450980393,Bachelor,2.8,2.68,50
Male,23,3.1540296924708375,Offline,3.4722805176635183,90.0,Bachelor,1.52,2.15,36000
Male,22,2.0,Offline,3.5,100.0,Bachelor,3.12,3.08,25000
Male,24,5.0,Offline,1.0,90.0,Family,3.68,3.33,20000
Male,24,4.0,Online,0.5,85.0,Family,2.25,2.64,20000
Male,22,1.0,Online,0.5,90.0,Family,3.5,3.43,100000
Female,20,6.0,Offline,1.0,100.0,Family,2.760508706467662,3.201095977596741,50000
Male,19,2.0,Online,1.0,90.0,Bachelor,3.36,3.72,20000
Male,20,1.0,Offline,4.0,99.0,Family,3.83,3.83,35000
Male,22,4.0,Online,1.0,90.0,Family,1.98,2.98,25000
Female,19,3.1540296924708375,Offline,3.4722805176635183,98.0,Family,3.37,3.201095977596741,207239
Male,21,3.0,Online,3.4722805176635183,88.33627450980393,Family,2.760508706467662,3.201095977596741,207239
Male,19,5.0,Offline,3.0,88.33627450980393,Family,4.5,3.201095977596741,30000
Male,20,3.1540296924708375,Offline,1.0,100.0,Family,0.0,0.0,150
Female,20,4.0,Offline,3.0,98.0,Family,2.760508706467662,3.201095977596741,50000
Female,23,3.1540296924708375,Online,3.4722805176635183,90.0,Family,2.79,2.84,30000
Male,21,5.5,Offline,2.0,95.0,Bachelor,3.52,3.65,207239
Male,21,3.1540296924708375,Online,2.0,90.0,Family,3.85,3.79,35000
Female,23,4.0,Online,5.0,70.0,Bachelor,3.01,2.89,90000
Female,20,3.1540296924708375,Offline,3.4722805176635183,90.0,Family,3.18,3.18,80000
Male,19,5.0,Offline,5.0,100.0,Bachelor,3.72,3.89,60000
Female,21,3.1540296924708375,Online,10.0,70.0,Family,2.8,2.9,500000
Male,21,2.0,Online,3.0,90.0,Family,3.42,3.56,50000
Male,20,3.1540296924708375,Offline,3.4722805176635183,85.0,Bachelor,2.49,3.03,40000
Female,19,2.0,Offline,3.0,95.0,Family,4.59,4.67,100000
Female,22,3.0,Offline,3.4722805176635183,90.0,Family,3.86,3.67,20000
Male,20,3.5,Offline,1.0,100.0,Family,0.0,0.0,30000
Male,21,6.0,Online,3.4722805176635183,90.0,Family,3.82,3.7,50000
Male,21,2.0,Online,3.4722805176635183,75.0,Family,3.58,3.1,40000
Male,21,3.1540296924708375,Offline,2.0,98.0,Bachelor,2.57,2.8,30000
Male,22,5.0,Offline,2.0,95.0,Bachelor,3.86,3.92,40000
Male,22,3.0,Offline,3.0,80.0,Bachelor,4.0,0.0,40000
